,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,Assets
0,2,1,0,9600000,29900000,12,778,1,50700000
1,0,0,1,4100000,12200000,8,417,0,17000000
2,3,1,0,9100000,29700000,20,506,0,57700000
3,3,1,0,8200000,30700000,8,467,0,52700000
4,5,0,1,9800000,24200000,20,382,0,55000000
5,0,1,1,4800000,13500000,10,319,0,33900000
6,5,1,0,8700000,33000000,4,678,1,70800000
7,2,1,1,5700000,15000000,20,382,0,36700000
8,0,1,1,800000,2200000,20,782,1,5500000
9,5,0,0,1100000,4300000,10,388,0,9500000
10,4,1,1,2900000,11200000,2,547,1,25400000
11,2,0,1,6700000,22700000,18,538,0,47900000
12,3,0,1,5000000,11600000,16,311,0,34900000
13,2,1,1,9100000,31500000,14,679,1,53300000
14,1,0,0,1900000,7400000,6,469,0,10900000
15,5,0,0,4700000,10700000,10,794,1,30400000
16,2,1,1,500000,1600000,4,663,1,3400000
17,4,0,1,2900000,9400000,14,780,1,16700000
18,2,1,0,2700000,10300000,10,736,1,10500000
19,5,1,0,6300000,14600000,12,652,1,43200000
20,2,1,0,5000000,19400000,12,315,0,35200000
21,4,1,0,5800000,14000000,16,530,0,42700000
22,4,1,1,6500000,25700000,18,311,0,42800000
23,0,0,1,500000,1400000,2,551,1,2900000
24,0,0,0,4900000,9800000,16,324,0,25800000
25,5,0,0,3100000,9500000,20,514,0,20200000
26,4,1,0,8200000,28100000,12,696,1,54600000
27,4,0,1,2400000,5600000,4,662,1,16600000
28,5,0,1,7000000,24000000,6,336,0,51400000
29,3,0,1,9000000,31500000,10,850,1,75900000
30,2,0,0,9800000,25300000,12,313,0,60200000
31,2,1,0,5700000,12000000,6,363,0,37000000
32,1,0,1,800000,1600000,10,436,0,4100000
33,5,0,1,8400000,22000000,2,830,1,33000000
34,3,1,0,4900000,11900000,8,612,1,35700000
35,2,1,1,1700000,3400000,8,691,1,12400000
36,3,0,0,1600000,6200000,18,636,1,10800000
37,5,1,1,8000000,27200000,6,348,0,30500000
38,5,1,0,3600000,7700000,16,830,1,21200000
39,3,0,1,1500000,5100000,6,352,0,6800000
40,1,1,0,7800000,18100000,2,712,1,50500000
41,2,0,0,9100000,24900000,16,822,1,70600000
42,3,1,0,1400000,3400000,6,540,0,6400000
43,2,1,1,800000,2300000,12,342,0,6100000
44,5,1,0,6500000,13400000,18,787,1,40100000
45,4,1,0,8000000,27800000,16,331,0,51600000
46,3,0,1,4200000,14600000,6,679,1,22900000
47,1,1,1,4900000,19100000,14,677,1,38700000
48,3,0,0,5500000,20500000,12,634,1,36100000
49,1,0,1,9500000,19100000,16,662,1,60000000
50,4,1,0,7300000,25400000,16,502,0,33300000
51,2,1,0,8700000,24700000,10,435,0,43400000
52,5,0,0,3800000,7600000,4,689,1,21500000
53,1,0,1,8400000,23000000,12,657,1,70300000
54,2,1,1,5100000,19700000,20,590,1,39500000
55,5,0,0,6700000,24500000,12,818,1,29300000
56,2,0,0,4300000,10600000,18,431,0,18100000
57,5,1,1,9300000,30500000,18,841,1,72900000
58,1,1,0,7400000,18400000,20,421,0,49200000
59,4,0,1,5500000,18200000,16,797,1,28200000
60,2,0,0,8500000,18900000,18,478,0,77400000
61,3,0,1,9600000,30500000,18,669,1,42400000
62,5,0,1,8800000,28900000,6,365,0,65100000
63,3,0,1,3300000,7500000,20,586,1,20600000
64,4,1,1,3900000,12300000,18,784,1,30400000
65,1,1,0,4100000,10300000,12,364,0,33300000
66,3,0,0,8300000,29100000,10,715,1,54000000
67,0,0,1,2700000,10100000,20,693,0,9200000
68,4,1,0,5600000,12400000,4,777,1,25900000
69,0,1,0,1900000,5000000,12,312,0,14100000
70,4,0,1,500000,1500000,20,340,0,2800000
71,5,1,1,5300000,18600000,4,386,1,28500000
72,5,0,0,7000000,18300000,4,418,0,59200000
73,3,0,1,5800000,16700000,16,735,1,31500000
74,2,0,0,2600000,8400000,6,494,0,17900000
75,2,0,0,1900000,6500000,18,671,1,9000000
76,4,1,0,5700000,14800000,16,697,1,41300000
77,0,1,0,9000000,33500000,8,801,1,67000000
78,2,0,0,8500000,29400000,12,576,1,57400000
79,0,0,0,700000,1400000,14,639,1,5900000
80,4,1,0,3500000,8900000,4,470,0,17800000
81,0,0,0,8800000,31200000,4,826,1,45300000
82,2,0,1,9900000,21200000,16,363,0,70300000
83,3,1,0,3600000,8600000,20,613,1,23300000
84,3,0,1,3000000,8200000,16,713,1,25500000
85,2,1,0,6800000,21200000,16,439,0,48700000
86,5,0,1,1100000,3800000,18,387,0,7900000
87,1,0,1,8700000,28300000,8,402,0,72100000
88,4,1,1,2000000,8000000,6,837,1,14500000
89,2,0,0,9800000,37600000,10,641,1,55100000
90,4,1,0,5700000,21100000,18,489,0,23300000
91,4,1,0,8800000,20700000,18,540,0,57500000
92,4,1,0,3800000,8900000,4,844,1,30400000
93,1,1,0,1700000,6400000,10,452,0,9700000
94,2,1,0,1000000,2000000,10,366,0,6100000
95,5,1,0,300000,1100000,2,300,1,1700000
96,2,1,1,6600000,15000000,18,470,0,31200000
97,2,0,0,8700000,25000000,20,861,1,53700000
98,4,1,0,9400000,29400000,12,562,1,84600000
99,0,1,0,4400000,10800000,14,463,0,25700000
100,4,0,0,400000,900000,12,478,0,2100000
101,2,0,1,300000,1100000,2,702,1,1200000
102,2,0,1,4300000,12900000,20,618,1,28800000
103,4,1,0,1600000,4500000,12,633,1,8400000
104,5,0,1,6200000,23600000,10,331,0,61300000
105,3,0,1,4200000,9700000,16,841,1,29900000
106,4,0,1,9000000,18100000,12,764,1,49500000
107,0,1,0,2700000,10600000,6,591,1,15700000
108,1,1,1,9700000,35900000,2,719,1,58500000
109,2,1,0,3300000,6800000,14,317,0,19000000
110,0,0,0,300000,1100000,8,778,1,2000000
111,3,1,1,7400000,18200000,14,302,0,31600000
112,5,0,0,7100000,19700000,8,502,0,48000000
113,5,0,1,7300000,22100000,18,879,1,59200000
114,1,0,0,8400000,23400000,14,437,0,62700000
115,0,0,1,3300000,10800000,12,797,1,17600000
116,4,0,1,5800000,23200000,18,456,0,50400000
117,0,0,0,600000,1600000,6,647,1,4300000
118,0,0,0,7200000,15800000,12,379,0,50000000
119,1,0,1,9100000,32900000,2,717,1,33700000
120,5,1,0,900000,2300000,16,545,0,3800000
121,2,1,0,800000,3200000,8,317,0,4200000
122,1,0,0,8500000,32900000,10,570,1,37300000
123,0,0,1,9000000,18700000,18,865,1,59000000
124,3,1,0,7000000,19500000,14,719,1,50900000
125,3,1,0,200000,600000,16,821,1,1100000
126,4,0,1,400000,800000,10,859,1,2400000
127,3,0,0,5100000,18200000,10,395,0,29900000
128,2,0,1,700000,2600000,12,429,0,6400000
129,3,1,0,400000,1200000,12,861,1,2100000
130,0,0,1,9500000,20800000,14,565,1,74300000
131,5,1,0,8800000,22600000,10,357,0,39600000
132,3,0,1,1800000,3600000,18,465,0,9100000
133,4,0,1,6800000,13900000,8,479,0,56100000
134,3,0,0,1500000,5500000,16,717,1,8600000
135,3,1,0,1600000,5500000,12,425,0,7700000
136,2,0,0,4600000,16700000,2,786,1,26100000
137,5,0,1,2200000,6700000,6,382,0,15400000
138,3,0,1,2900000,8500000,12,564,1,13400000
139,0,1,0,200000,700000,8,501,0,1500000
140,2,0,1,2500000,9400000,10,727,1,23500000
141,4,0,0,3600000,7500000,6,894,1,17800000
142,0,1,1,5500000,16700000,18,829,1,25500000
143,4,0,0,6600000,17400000,20,506,0,45700000
144,2,1,1,8600000,32100000,6,802,1,60400000
145,5,0,0,600000,1500000,14,543,0,3600000
146,3,1,1,1400000,3200000,20,772,1,10000000
147,3,1,0,4000000,11100000,12,572,1,24700000
148,0,0,1,4900000,11900000,16,709,1,37800000
149,5,1,0,2000000,6200000,18,402,0,14400000
150,1,0,1,5200000,19300000,8,481,0,46800000
151,5,1,1,8900000,28800000,6,772,1,47900000
152,1,1,1,6500000,20600000,2,306,1,39100000
153,2,0,0,1300000,4500000,6,415,0,5000000
154,3,0,0,9400000,35000000,16,548,0,63500000
155,5,0,0,5000000,11200000,8,701,1,28200000
156,2,1,0,3000000,7700000,12,890,1,19500000
157,5,0,1,9900000,33300000,6,364,0,60100000
158,5,1,1,700000,1300000,20,704,1,4400000
159,3,1,1,4000000,10600000,10,318,0,19500000
160,5,0,0,3100000,9600000,2,761,1,22200000
161,4,0,0,4500000,15100000,6,693,1,29000000
162,3,0,0,9700000,20600000,16,524,0,68800000
163,2,0,1,2000000,5300000,10,681,1,13500000
164,2,1,1,8100000,22300000,18,737,1,69200000
165,0,0,0,5700000,15900000,16,638,1,30400000
166,4,0,0,5800000,12800000,2,656,1,24300000
167,1,1,0,1800000,6500000,6,540,0,11800000
168,4,0,1,9100000,35200000,6,341,0,32600000
169,0,0,1,4800000,17500000,2,371,1,40700000
170,3,0,1,3800000,10500000,12,886,1,21700000
171,0,0,0,1900000,4100000,18,801,1,7200000
172,3,0,1,3600000,9500000,16,748,1,22400000
173,2,0,1,7400000,28200000,8,376,0,49500000
174,4,0,1,6600000,14300000,8,371,0,46200000
175,2,1,0,1800000,5300000,6,826,1,13000000
176,4,0,0,9200000,27200000,12,873,1,51500000
177,5,0,1,2400000,8600000,8,309,0,9600000
178,4,0,0,5600000,13300000,20,869,1,37300000
179,5,1,0,3800000,13900000,12,534,0,18600000
180,3,0,1,4500000,17900000,6,787,1,31900000
181,0,1,1,900000,2200000,16,566,1,3400000
182,0,0,0,2800000,9900000,8,742,1,14600000
183,2,0,0,7500000,23100000,4,824,1,58800000
184,4,1,0,1400000,3100000,14,575,1,11400000
185,2,1,1,3800000,10900000,10,766,1,17400000
186,1,0,1,1700000,5000000,10,888,1,10100000
187,3,1,1,9000000,30400000,6,638,1,63900000
188,5,0,1,7300000,23300000,6,622,1,55600000
189,1,0,0,7400000,19800000,18,458,0,50500000
190,1,0,0,9000000,28200000,16,327,0,39200000
191,0,0,0,3000000,6500000,2,612,1,20600000
192,1,1,0,800000,2900000,8,682,1,6900000
193,2,1,0,4800000,13200000,2,583,1,34200000
194,5,0,0,6400000,18300000,8,697,1,39700000
195,3,1,0,9200000,27100000,12,306,0,54900000
196,4,0,1,400000,1500000,2,669,1,1900000
197,2,0,0,2800000,6000000,18,816,1,21900000
198,4,0,1,8500000,28900000,20,455,0,52900000
199,3,1,1,4700000,16400000,10,318,0,40000000
200,4,0,1,9800000,21200000,20,355,0,77100000
201,2,0,1,3800000,8900000,16,389,0,20200000
202,2,1,0,500000,1500000,2,888,1,3900000
203,2,1,1,6900000,15600000,6,352,0,50900000
204,4,0,1,9600000,30100000,12,870,1,50800000
205,3,0,0,2900000,6500000,18,827,1,22500000
206,2,1,0,9800000,20900000,12,768,1,65600000
207,0,1,0,7100000,15400000,18,707,1,46500000
208,1,0,1,7700000,19100000,10,355,0,44700000
209,3,1,0,1400000,3300000,2,652,1,7600000
210,3,1,0,7800000,15900000,2,665,1,47900000
211,5,0,1,1700000,6000000,18,420,0,8100000
212,2,0,0,8500000,32700000,18,471,0,68400000
213,5,0,0,1900000,7500000,20,715,1,17200000
214,2,0,1,6700000,15200000,10,689,1,30000000
215,3,1,1,6900000,16400000,4,787,1,47400000
216,2,1,0,2600000,7800000,4,819,1,14600000
217,4,1,1,9600000,21100000,6,809,1,69000000
218,1,0,1,6800000,17000000,2,744,1,46600000
219,0,0,0,3200000,11300000,6,484,0,19600000
220,4,0,0,2900000,10400000,6,673,1,19100000
221,3,1,1,7900000,21200000,18,695,1,51100000
222,4,0,1,3900000,12400000,12,473,0,28000000
223,4,1,1,4600000,11000000,2,491,0,32600000
224,3,0,1,700000,1700000,8,733,1,4900000
225,0,0,0,5200000,15600000,20,434,0,43500000
226,3,0,1,5900000,20600000,10,777,1,34100000
227,4,1,0,7200000,19100000,4,774,1,37900000
228,1,0,1,8700000,27000000,10,717,1,60700000
229,3,0,1,1100000,3500000,12,503,0,6800000
230,1,1,1,4000000,10900000,14,598,1,28200000
231,2,1,0,9800000,32400000,2,543,1,75100000
232,0,0,1,2700000,6800000,20,796,1,13800000
233,3,0,1,8800000,34600000,8,386,0,55700000
234,5,0,1,3300000,7800000,16,632,1,21000000
235,1,1,1,6900000,23400000,4,481,1,53400000
236,3,1,1,900000,3500000,4,770,0,3300000
237,3,1,1,4100000,15500000,6,667,1,23100000
238,3,0,1,4700000,17500000,8,585,1,18800000
239,5,1,1,3400000,11600000,16,479,0,28500000
240,2,1,0,9600000,22500000,18,851,1,60600000
241,3,0,1,7000000,16200000,6,378,0,58400000
242,5,1,0,5700000,12900000,18,807,1,29100000
243,1,0,1,8200000,32400000,18,831,1,60600000
244,2,0,0,2100000,5100000,12,674,1,14200000
245,1,0,1,8000000,28100000,18,725,1,45200000
246,2,0,0,8000000,29300000,4,600,1,65600000
247,0,0,1,9400000,27000000,10,536,0,44700000
248,0,1,0,8400000,20600000,10,477,0,39900000
249,1,0,1,1900000,5000000,6,560,1,10600000
250,0,0,1,4200000,16400000,20,539,0,26100000
251,5,1,0,2600000,9100000,8,852,1,18000000
252,3,0,0,3700000,8500000,20,853,1,26400000
253,0,1,0,8800000,30900000,12,729,1,39500000
254,2,0,0,2100000,4700000,2,546,0,16400000
255,3,1,1,900000,2400000,10,489,0,4100000
256,3,1,1,9800000,35400000,6,869,1,63900000
